time,distance,h_true,h_pred,Q_true,Q_pred
4000,0.0,0.5366556,0.53665066,1.2112333,1.2097822
4000,100.0,0.57788414,0.5755271,1.2034143,1.1983391
4000,200.0,0.6171402,0.61499316,1.1945658,1.1898571
4000,300.0,0.6543668,0.6536788,1.1851183,1.183325
4000,400.0,0.6893814,0.69000465,1.1751204,1.1756696
4000,500.0,0.7216244,0.72226256,1.164641,1.1646332
4000,600.0,0.74974906,0.7482909,1.1537807,1.1487361
4000,700.0,0.77066314,0.7667293,1.1426809,1.1299319
4000,800.0,0.7769344,0.77667695,1.1315143,1.1129574
4000,900.0,0.77083343,0.7706297,1.1204078,1.098801
4000,1000.0,0.76387167,0.7589157,1.1094021,1.0891006
4000,1100.0,0.7546036,0.7448043,1.0985459,1.0838263
4000,1200.0,0.7390044,0.7292617,1.0879145,1.0805596
4000,1300.0,0.7175575,0.71175724,1.0775685,1.0745455
4000,1400.0,0.69636565,0.69360095,1.0675136,1.0665938
4000,1500.0,0.675426,0.67541844,1.057745,1.057763
4000,1600.0,0.65476424,0.65729207,1.0482559,1.0479056
4000,1700.0,0.6345106,0.6394646,1.0390338,1.0377529
4000,1800.0,0.6151827,0.6225711,1.0300509,1.0281398
4000,1900.0,0.59875333,0.60687983,1.0212443,1.0199393
4000,2000.0,0.59213066,0.5926658,1.0125057,1.0131992
8000,0.0,0.46039155,0.4602868,0.969479,0.96788675
8000,100.0,0.5051413,0.50533605,0.98333335,0.9830694
8000,200.0,0.5503623,0.5516608,0.99931926,0.99922615
8000,300.0,0.5961772,0.5980976,1.0167207,1.0166606
8000,400.0,0.6422237,0.6441957,1.035456,1.0357231
8000,500.0,0.6875485,0.6885258,1.055363,1.0565947
8000,600.0,0.7301967,0.7283939,1.0761852,1.0769832
8000,700.0,0.766367,0.76089555,1.0975732,1.0960733
8000,800.0,0.7882384,0.78422296,1.1191256,1.1150473
8000,900.0,0.79778737,0.7989972,1.1405313,1.1454444
8000,1000.0,0.8056378,0.80561066,1.1616236,1.174465
8000,1100.0,0.8099507,0.80590725,1.1822205,1.2016613
8000,1200.0,0.8064837,0.80132025,1.2021086,1.2238593
8000,1300.0,0.7959676,0.7917407,1.2211092,1.2332902
8000,1400.0,0.78447145,0.78134114,1.2391428,1.2432317
8000,1500.0,0.7720492,0.77100676,1.2561551,1.2561935
8000,1600.0,0.7588186,0.760085,1.2721058,1.2693484
8000,1700.0,0.74506074,0.74901885,1.2869793,1.2832937
8000,1800.0,0.73149425,0.7378308,1.3008106,1.2974532
8000,1900.0,0.7200359,0.7269798,1.313741,1.3125052
8000,2000.0,0.7156078,0.7167361,1.3261279,1.327639
12000,0.0,0.4,0.3997745,0.8079596,0.8077111
12000,100.0,0.43266886,0.43331698,0.8079596,0.8051821
12000,200.0,0.46440718,0.46663725,0.8079596,0.80460894
12000,300.0,0.49531686,0.49839684,0.8079598,0.80554754
12000,400.0,0.52539223,0.5279053,0.8079602,0.8070579
12000,500.0,0.5543863,0.554485,0.80796117,0.8077964
12000,600.0,0.58143765,0.57780296,0.80796325,0.8067651
12000,700.0,0.60405326,0.5974087,0.8079672,0.80354625
12000,800.0,0.61501205,0.6126254,0.80797416,0.7989212
12000,900.0,0.6147862,0.6117689,0.807986,0.79929155
12000,1000.0,0.6140539,0.6083126,0.8080053,0.80107546
12000,1100.0,0.6116917,0.6037266,0.80803525,0.8022997
12000,1200.0,0.6039452,0.59741783,0.80807996,0.8036382
12000,1300.0,0.5905374,0.5862065,0.80814445,0.80701
12000,1400.0,0.5770493,0.57447946,0.80823517,0.80869544
12000,1500.0,0.563482,0.5632748,0.8083597,0.8083728
12000,1600.0,0.54984754,0.55178165,0.80852675,0.8073594
12000,1700.0,0.5362052,0.5401249,0.8087459,0.8065535
12000,1800.0,0.522824,0.5285403,0.8090269,0.806513
12000,1900.0,0.5109305,0.51725066,0.80937594,0.80772936
12000,2000.0,0.50582117,0.5065579,0.8097797,0.81012225
